Designator,Mid X,Mid Y,Rotation,Layer
1,5.0,5.0,0.0,top
2_3,5.0,85.0,0.0,top
2_2,105.0,5.0,0.0,top
2,105.0,85.0,0.0,top
C1,27.01,77.16,0.0,top
C10,91.305,64.05,0.0,top
C11,76.95,56.525,90.0,top
C12,105.44,64.19,180.0,top
C16,77.525,61.9375,270.0,top
C17,71.7,61.9375,270.0,top
C18,65.9,61.9375,270.0,top
C19,60.1,61.9375,270.0,top
C2,27.0,79.22,0.0,top
C20,54.3,61.9375,270.0,top
C21,48.525,61.9375,270.0,top
C22,39.8,61.9375,270.0,top
C23,38.478113,57.976137,0.0,top
C24,3.925,38.6,180.0,top
C25,8.65,39.1,180.0,top
C26,11.675,38.125,270.0,top
C27,13.725,38.1125,270.0,top
C28,15.85,38.125,270.0,top
C29,105.35,69.09,0.0,top
C3,25.7,65.1,270.0,top
C30,17.85,38.15,270.0,top
C31,19.9,38.125,270.0,top
C32,23.0,44.85,0.0,top
C33,3.325,23.625,90.0,top
C34,48.125,41.35,90.0,top
C35,66.925,41.35,90.0,top
C36,94.725,40.725,90.0,top
C37,6.7,70.37,180.0,top
C38,22.6,71.2,90.0,top
C39,9.6,82.25,180.0,top
C4,30.5,65.2,270.0,top
C40,66.85,57.45,90.0,top
C41,56.93,57.5525,90.0,top
C42,56.4,42.3,0.0,top
C5,4.65,42.59,270.0,top
C6,2.53,42.6125,270.0,top
C7,22.05,47.95,270.0,top
C8,17.78,66.29,90.0,top
C9,91.57,67.8,180.0,top
CN1,91.715,82.0,180.0,top
CN2,55.0,82.0,180.0,top
CN3,80.715,82.0,180.0,top
D10,25.125,24.95,90.0,top
D12,16.9,24.95,90.0,top
D14,25.35,16.375,90.0,top
D16,17.3,16.375,90.0,top
D18,33.625,7.68,90.0,top
D2,96.19,72.62,90.0,top
D20,23.375,7.775,90.0,top
D22,24.575,87.975,180.0,top
D23,70.775,69.875,270.0,top
D27,14.55,78.875,180.0,top
D28,17.775,79.475,0.0,top
D29,20.175,79.05,90.0,top
D3,83.99,67.55,90.0,top
D30,12.15,79.075,270.0,top
D31,23.85,84.55,0.0,top
D6,33.325,24.925,90.0,top
D8,33.35,16.45,90.0,top
F1,87.16,73.265,270.0,top
K1,91.6525,27.5675,90.0,top
K2,85.6525,27.5675,90.0,top
K3,79.6525,27.5675,90.0,top
K4,73.6525,27.5675,90.0,top
K5,63.625,27.5675,90.0,top
K6,57.625,27.5675,90.0,top
K7,51.625,27.5675,90.0,top
K8,45.625,27.5675,90.0,top
L2,77.525,69.7,270.0,top
OC1,35.95,36.95,90.0,top
OC2,64.975,67.975,270.0,top
OC3,58.07,67.85,270.0,top
OC4,49.5,67.95,270.0,top
OC5,41.1,67.925,270.0,top
P1,78.955,8.615,0.0,top
P2,52.28,8.615,0.0,top
P3,65.36,8.725,180.0,top
P4,92.225,8.715,180.0,top
Q1,40.25,50.2,270.0,top
Q10,36.425,11.575,90.0,top
Q11,26.425,11.55,90.0,top
Q13,3.67,75.46,270.0,top
Q14,36.225,28.95,90.0,top
Q15,6.96,75.5,270.0,top
Q16,48.75,46.05,270.0,top
Q2,6.9,27.5,180.0,top
Q4,12.25,31.225,180.0,top
Q5,36.325,20.25,90.0,top
Q6,28.25,28.7,90.0,top
Q7,20.025,28.75,90.0,top
Q8,28.175,20.1,90.0,top
Q9,20.075,20.175,90.0,top
R10,31.885,38.445,270.0,top
R11,31.975,33.65,270.0,top
R12,73.125,56.65,270.0,top
R13,40.925,41.075,0.0,top
R18,66.13,74.05,0.0,top
R19,62.3,74.05,0.0,top
R20,54.65,74.05,0.0,top
R21,58.475,74.05,0.0,top
R22,46.95,74.05,0.0,top
R23,50.8,74.025,0.0,top
R24,39.175,74.075,0.0,top
R25,43.075,74.06,0.0,top
R26,36.9,62.001,90.0,top
R27,42.7,62.001,90.0,top
R28,45.625,62.001,90.0,top
R29,51.4,62.001,90.0,top
R30,57.2,62.001,90.0,top
R31,63.0,62.001,90.0,top
R32,68.8,62.001,90.0,top
R33,74.625,62.001,90.0,top
R34,46.2,46.275,90.0,top
R35,23.025,42.6,180.0,top
R36,19.9,42.05,90.0,top
R37,17.825,42.05,90.0,top
R38,15.775,42.05,90.0,top
R39,13.7,42.05,90.0,top
R4,9.8,88.225,180.0,top
R40,11.65,42.05,90.0,top
R41,9.6,42.05,90.0,top
R42,7.525,42.05,90.0,top
R43,15.375,31.35,90.0,top
R44,17.5,31.375,90.0,top
R45,22.075,33.75,90.0,top
R46,11.75,19.55,90.0,top
R47,2.6,28.125,0.0,top
R48,4.25,20.4,180.0,top
