Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6",0805,3,10uf_25v,
C10,C_Elec_10x10.2,1,470uf,C72518
C11,C_Elec_6.3x7.7,1,47uf,C72523
C12,C_Elec_8x10.2,1,220uf,
"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C37, C38, C40, C41, C42, C43, C5, C9",0805,28,100nf,
"C2, C3",0805,2,0.1uf_50v,
"C34, C35, C36",0805,3,10uf,
"C7, C8",0805,2,0.1uf,
"CN1, CN3",CONN-TH_2P-P5.08_DIBO_DB128V-5.08,2,DB128V-5.08-2P-GN-S,C2915639
CN2,CONN-TH_8P-P5.08_DB128V-5.08-8P-GN-S,1,DB128V-5.08-8P-GN-S,C5143711
"D1, D11, D13, D4, D5, D6, D7, D9",D_SOD-323,8,1N5819WS,
"D2, D23",D_SMA,2,SS14,
D22,SOD-123_L2.7-W1.6-LS3.7-RD,1,1N5819HW-7-F,C82544
D3,D_SMA,1,B330A,
"DZ1, DZ2",D_SOD-123,2,MMSZ3V6,
F1,FUSE-TH_L22.6-W9.0,1,5x20 BLX-Atype Fuse holder XC-7,C3131
J4,PinHeader_1x04_P2.00mm_Vertical,1,Connect,
"K1, K2, K3, K4, K5, K6, K7, K8",RELAY-TH_HF49FD-012-1H12G,8,HF49FD/012-1H12G,C340662
L2,IND-SMD_L8.5-W8.0_PCC-M0854M,1,PSPMAA0805-101M-ANP,C2962892
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",SolderWirePad_1x01_SMD_1x2mm,8,TestPoint_Flag,
"LED10, LED9",LED0805-FD-GREEN,2,YLED0805G,C25170728
OC1,DIP-4_W7.62mm_SMDSocket_SmallPads,1,PC817,
"OC2, OC3, OC4, OC5",SO-8_3.9x6.2mm_P1.27mm,4,ILD207T,
"P1, P2, P5",CONN-TH_3P-P5.00_WJ500V-5.08-3P,3,WJ500V-5.08-3P-14-00A,C72334
"P3, P4",CONN-TH_2P-P5.00_WJ500V-5.08-2P,2,WJ500V-5.08-2P-14-00A,C8465
Q1,TO-252-2,1,FQD11P06,
"Q10, Q11, Q13, Q14, Q15, Q5, Q6, Q7, Q8, Q9",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,10,2n3904S-RTK/PS_C18536,C18536
"R1, R10, R11, R2, R26, R27, R28, R29, R30, R31, R32, R33, R35, R36, R37, R38, R39, R40, R41, R42, R52, R53, R56, R59, R62, R65, R68, R7, R71, R8, R9",0805,31,10k,
"R12, R6",0805,2,2.2k,
"R13, R14, R16, R51, R54, R57, R60, R63, R66, R69, R72, R74, R75",0805,13,1k,
"R15, R17",0805,2,536,
"R18, R19, R20, R21, R22, R23, R24, R25",0805,8,20k,
"R5, R78",0805,2,5.11k,
"R76, R77",0805,2,0,
SGM2212-3.1,SOT-223,1,~,
SW1,SW-SMD_4P-L6.0-W6.0-P4.50-LS8.2,1,BOOT,C7528752
SW3,SW-SMD_4P-L6.0-W6.0-P4.50-LS8.2,1,RESET,C7528752
"TP1, TP2, TP4",TestPoint_Pad_2.0x2.0mm,3,TestPoint_Small,
TP3,TestPoint_Pad_2.0x2.0mm,1,GND,
TP6,SolderWirePad_1x01_SMD_1.5x3mm,1,TestPoint_Flag,
TP7,TestPoint_Pad_2.0x2.0mm,1,GND_U10,
"U1, U2",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,74HC14_C5356103,C5356103
"U10, U11",TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,2,74HC541TS,C41433435
U13,ESP32-WROOM-32D,1,ESP32-WROOM-32D,
U14,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U3,TO-263-2,1,L7812CD2T,
"U4, U6",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,2,LM358DR,C5423
"U5, U8, U9",SOT-23-3_L2.9-W1.3-P1.90-LS2.4,3,SM05.TCT_C2687125,C2687125
U7,PG-TO-263-5_L10.2-W8.7-P1.70-LS14.4-BR,1,LM2576HVS-3.3,C347436
USB2,USB-C-SMD_HX-TYPE-C-16P-180-LT-H15.0,1,HX-TYPE-C 16P 180 LT H15.0,C49261573
