Designator,Mid X,Mid Y,Rotation,Layer
1,5.0,5.0,0.0,top
2_3,5.0,85.0,0.0,top
2_2,105.0,5.0,0.0,top
2,105.0,85.0,0.0,top
C1,27.01,77.16,0.0,top
C10,88.5,68.125,270.0,top
C11,80.85,59.525,90.0,top
C12,103.29,29.51,180.0,top
C13,15.3,20.275,270.0,top
C14,8.6,10.9,0.0,top
C15,2.3,20.3115,270.0,top
C16,69.75,57.475,270.0,top
C17,71.775,61.9375,270.0,top
C18,65.95,61.9375,270.0,top
C19,60.15,61.9375,270.0,top
C2,27.0,79.22,0.0,top
C20,54.35,61.9375,270.0,top
C21,48.525,61.9375,270.0,top
C22,39.8,61.9375,270.0,top
C23,38.478113,57.976137,0.0,top
C24,7.525,38.1,270.0,top
C25,9.6,38.175,270.0,top
C26,11.65,38.125,270.0,top
C27,13.7,38.1125,270.0,top
C28,15.75,38.125,270.0,top
C29,95.75,39.35,270.0,top
C3,25.7,65.1,270.0,top
C30,17.8,38.15,270.0,top
C31,19.85,38.125,270.0,top
C32,22.85,45.525,0.0,top
C34,66.65,40.775,90.0,top
C35,76.625,40.4625,90.0,top
C36,60.6,40.725,90.0,top
C37,7.3,70.37,180.0,top
C38,22.6,71.2,90.0,top
C4,30.5,65.2,270.0,top
C40,66.85,57.45,90.0,top
C41,56.93,57.5525,90.0,top
C42,56.4,42.3,0.0,top
C43,10.75,24.55,180.0,top
C5,4.65,42.59,270.0,top
C6,2.53,42.6125,270.0,top
C7,22.05,48.9875,270.0,top
C8,17.78,66.29,90.0,top
C9,97.225,63.475,0.0,top
CN1,91.715,82.0,180.0,top
CN2,55.0,82.0,180.0,top
CN3,80.715,82.0,180.0,top
D1,33.225,24.805,90.0,top
D11,17.2,16.275,90.0,top
D13,38.45,8.41,90.0,top
D2,97.175,58.75,90.0,top
D22,27.925,86.275,180.0,top
D23,70.775,69.875,270.0,top
D3,97.175,68.225,270.0,top
D4,33.25,16.33,90.0,top
D5,25.125,24.95,90.0,top
D6,36.505,11.5,180.0,top
D7,18.425,24.705,90.0,top
D9,25.2,16.255,90.0,top
DZ1,5.15,26.2,90.0,top
DZ2,2.025,26.2,90.0,top
F1,104.325,67.375,270.0,top
J4,2.95,69.05,0.0,top
K1,91.6525,27.5675,90.0,top
K2,85.6525,27.5675,90.0,top
K3,79.6525,27.5675,90.0,top
K4,73.6525,27.5675,90.0,top
K5,63.625,27.5675,90.0,top
K6,57.625,27.5675,90.0,top
K7,51.625,27.5675,90.0,top
K8,45.625,27.5675,90.0,top
L2,78.1,69.75,270.0,top
LED10,76.015,54.175,0.0,top
LED9,35.1,66.65,90.0,top
OC1,35.95,36.95,90.0,top
OC2,64.975,67.975,270.0,top
OC3,58.07,67.85,270.0,top
OC4,49.5,67.95,270.0,top
OC5,41.1,67.925,270.0,top
P1,78.955,8.615,0.0,top
P2,52.28,8.615,0.0,top
P3,65.36,8.725,180.0,top
P4,92.225,8.715,180.0,top
P5,20.225,8.55,0.0,top
Q1,40.25,50.2,270.0,top
Q10,41.8,12.7,90.0,top
Q11,32.65,11.65,90.0,top
Q13,3.67,75.675,270.0,top
Q14,36.225,28.95,90.0,top
Q15,6.96,75.7,270.0,top
Q5,36.325,20.25,90.0,top
Q6,28.25,28.7,90.0,top
Q7,20.025,28.75,90.0,top
Q8,28.175,20.1,90.0,top
Q9,20.075,20.175,90.0,top
R1,24.72984,33.781163,90.0,top
R10,31.885,38.445,270.0,top
R11,31.975,33.668491,270.0,top
R12,72.475,56.65,270.0,top
R13,40.925,41.075,0.0,top
R14,13.25,20.225,90.0,top
R15,11.2,20.225,90.0,top
R16,4.35,20.375,90.0,top
R17,6.425,20.375,90.0,top
R18,66.13,74.05,0.0,top
R19,62.3,74.05,0.0,top
R2,27.662813,33.786621,90.0,top
R20,54.65,74.05,0.0,top
R21,58.475,74.05,0.0,top
R22,46.95,74.05,0.0,top
R23,50.8,74.025,0.0,top
R24,39.175,74.075,0.0,top
R25,43.075,74.06,0.0,top
R26,36.9,62.001,90.0,top
R27,42.7,62.001,90.0,top
R28,45.625,62.001,90.0,top
R29,51.45,62.001,90.0,top
R30,57.25,62.0,90.0,top
R31,63.05,62.001,90.0,top
R32,68.85,62.001,90.0,top
R33,74.675,62.0,90.0,top
R35,22.9,43.475,180.0,top
R36,19.9,42.05,90.0,top
R37,17.825,42.05,90.0,top
R38,15.775,42.05,90.0,top
R39,13.7,42.05,90.0,top
R40,11.65,42.05,90.0,top
R41,9.6,42.05,90.0,top
R42,7.525,42.05,90.0,top
R5,9.25,81.75,270.0,top
